hn,date_of_submission,species,submitted_sample,vitek_id,bacteria_genus,report_issued_date,file_id,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_cefalexin,ans_cefazolin,ans_cefixime,ans_cefovecin,ans_cefpodoxime,ans_ceftriaxone,ans_chloramphenicol,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_metronidazole,ans_nitrofurantoin,ans_piperacillin/tazobactam,ans_polymyxin b,ans_pradofloxacin,ans_rifampicin,ans_tetracycline,ans_trimethoprim/sulfamethoxazole,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_ampicillin,S/I/R_cefalexin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefpodoxime,S/I/R_ceftiofur,S/I/R_chloramphenicol,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_esbl,S/I/R_gentamicin,S/I/R_imipenem,S/I/R_marbofloxacin,S/I/R_neomycin,S/I/R_nitrofurantoin,S/I/R_piperacillin,S/I/R_polymyxin b,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_tobramycin,S/I/R_trimethoprim/sulfamethoxazole
5703227,2016-07-06,dog,ub mucosa,GN,escherichia,2016-07-07,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,S,R,R,,S,S,S,S,,R,-,S,S,R,,S,R,,,,R,S,S
5910244,2016-06-30,dog,liver,GN,pseudomonas,2016-07-07,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,S,R,I,R,,R,R,R,R,,S,,S,S,S,,R,S,,,,S,I,R
5910698,2016-07-06,dog,abscess,GN,klebsiella,2016-07-07,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,S,S,R,R,,S,S,S,S,,S,-,S,S,S,,I,S,,,,R,S,S
5817065,2016-07-08,cat,nasal swab,GN,pseudomonas,2016-07-11,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,S,R,R,R,,R,R,R,R,,S,,S,S,S,,R,S,S,,,R,S,R
5900439,2016-07-08,dog,urine,GN,proteus,2016-07-11,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,R,R,R,,S,S,S,R,,R,,R,,R,,R,R,,,,R,R,R
5910777,2016-07-08,dog,wound,GN,salmonella,2016-07-11,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,R,R,R,R,,S,S,S,S,,S,,R,S,S,,R,R,,,,S,R,S
5910846,2016-07-08,dog,urine,GN,enterobacter,2016-07-11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,R,R,,R,,R,R,R,R,,R,,R,S,R,,R,R,,,,R,R,R
5900374,2016-07-08,dog,urine,GN,klebsiella,2016-07-13,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,R,R,R,,R,I,S,R,,R,,S,S,R,,R,R,,,,R,I,R
5906452,2016-07-08,cat,nasal discharge,GN,pseudomonas,2016-07-13,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,S,R,R,R,,R,R,R,R,,I,,S,S,S,,R,S,S,,,R,S,R
5910892,2016-07-07,dog,urine,GN,pseudomonas,2016-07-13,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,R,R,R,,R,R,R,R,,R,,R,S,R,,R,S,S,,,R,R,R
