hn,date_of_submission,species,submitted_sample,submitted_sample_category,vitek_id,bacteria_genus,report_issued_date,type,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_cefalexin,ans_cefazolin,ans_cefixime,ans_cefovecin,ans_cefpodoxime,ans_ceftriaxone,ans_chloramphenicol,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_metronidazole,ans_nitrofurantoin,ans_piperacillin/tazobactam,ans_polymyxin b,ans_pradofloxacin,ans_rifampicin,ans_tetracycline,ans_trimethoprim/sulfamethoxazole,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_ampicillin,S/I/R_cefalexin,S/I/R_cefalotin,S/I/R_cefovecin,S/I/R_cefpodoxime,S/I/R_ceftiofur,S/I/R_chloramphenicol,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_esbl,S/I/R_gentamicin,S/I/R_imipenem,S/I/R_marbofloxacin,S/I/R_neomycin,S/I/R_nitrofurantoin,S/I/R_piperacillin,S/I/R_polymyxin b,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_tetracycline,S/I/R_tobramycin,S/I/R_trimethoprim/sulfamethoxazole,id
5910814,2021-01-07,dog,ub mucosa,urinary tract,GN,escherichia,2021-01-12,test,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,R,R,R,R,R,R,R,R,R,R,I,-,I,S,S,S,S,,,I,,R,,R,3131
6400789,2021-01-20,dog,lung,xxrare,GN,escherichia,2021-01-25,test,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,S,R,R,R,R,R,R,R,R,I,R,-,R,S,R,S,R,,,R,,R,,R,3132
6315628,2021-01-06,dog,prostate,urogenital system,GN,pseudomonas,2021-01-08,test,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,S,,,,,,,,,,I,,S,S,S,,,,,,,,,,3133
6400547,2021-01-14,dog,urine,urinary tract,GN,escherichia,2021-01-20,test,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,S,S,R,R,R,R,R,R,S,R,I,+,S,S,S,S,S,,,I,,R,,S,3134
6007003,2021-01-12,dog,urine,urinary tract,GN,klebsiella,2021-01-19,test,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,S,S,R,S,S,S,S,S,S,S,S,-,S,S,S,S,I,,,S,,S,,S,3135
6212121,2021-01-11,cat,urine,urinary tract,GN,pseudomonas,2021-01-14,test,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,R,,S,S,R,,,,,,,,,,3136
6314892,2021-01-07,cat,urine,urinary tract,GN,escherichia,2021-01-12,test,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,S,R,R,R,R,R,R,R,R,R,R,+,S,S,R,S,S,,,R,,R,,R,3137
6400083,2021-01-04,cat,urine,urinary tract,GN,escherichia,2021-01-08,test,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,S,S,R,R,R,R,R,R,S,R,R,+,R,S,R,S,S,,,R,,R,,R,3138
6403686,2021-03-22,dog,nasal discharge,nasal cavity,GN,pseudomonas,2021-03-29,test,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,S,,,,,R,,R,,,I,,S,S,S,,,,,,,,,,3139
เธฃเธเธช.เน€เธเธฃเธดเธเธชเธธเธ (เธเธดเธ•เธ•เธตเน),2021-03-23,dog,urine,urinary tract,GN,pseudomonas,2021-03-29,test,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,S,,,,,R,,R,R,R,R,,R,S,R,,,,,,,R,,R,3140
