id,hn,species,submitted_sample,collect_method,vitek_id,bact_species_1,amikacin,amoxicillin/clavulanic acid,ampicillin,benzylpenicillin,cefalotin,cefotaxime,cefovecin,cefoxitin screen,cefpodoxime,ceftriaxone,chloramphenicol,clindamycin,doxycycline,enrofloxacin,erythromycin,florfenicol,fusidic acid,gentamicin,inducible clindamycin resistance,levofloxacin,linezolid,marbofloxacin,minocycline,moxifloxacin,mupirocin,nitrofurantoin,oxacillin,pradofloxacin,rifampicin,senrofloxacin,teicoplanin,tetracycline,tigecycline,trimethoprim/sulfamethoxazole,vancomycin,answer0,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,answer13
0,5400033,Dog,Crust,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,,S,,S,R,,S,S,,S,S,-,,,S,,,,S,S,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,
1,5500255,Dog,Right nasal mucosa,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,R,,S,S,clindamycin,amoxicillin/clavulanic acid,cefalexin,,,,,,,,,,,
2,5500510,Dog,crust from skin (hypothyroisim),(swab underneath the crust),GP,Antimicrobials,,,,R,S,,R,-,I,,,,,R,,,,S,-,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,
3,5500764,Dog,exudate from wound,unknown,GP,Antimicrobials,,,,R,S,,S,-,S,,,,,R,,,,R,-,,,R,,,,,R,,,,,,,,,clindamycin,,,,,,,,,,,,,
4,5500894,Dog,Pustule,unknown,GP,Antimicrobials,,,,R,S,,S,-,S,,,,,R,,,,R,-,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,
5,5501087,Dog,crust,,GP,Antimicrobials,,,,R,S,,S,-,S,,,,,S,,,,S,-,,,S,,,,,S,,,,,,,,,amoxicillin/clavulanic acid,cefalexin,amoxicillin/clavulanic acid,clindamycin,,,,,,,,,,
6,5501087,Dog,Purulent exudate จากซอกเล็บ,unknown,GP,Antimicrobials,,,,R,S,,S,-,S,,,,,S,,,,R,-,,,S,,,,,S,,,,,,,,,amoxicillin/clavulanic acid,cefalexin,amoxicillin/clavulanic acid,clindamycin,,,,,,,,,,
7,5501307,Dog,Crust from skin,,GP,Staphylococcus pseudintermedius,,,,R,S,,R,-,I,,R,R,,R,R,,S,S,-,,,R,,,,S,R,,,,,R,,R,S,,,,,,,,,,,,,,
8,5501488,Dog,renal pelvis,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,R,S,,R,R,,S,R,+,,,R,,,S,S,S,,,,,R,,R,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,
9,5510556,Dog,Crust เคยกิน cepha/AMC/baytril/ไม่หาย,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,R,,R,R,,S,R,-,,,R,,,,S,R,,,,,R,,R,S,,,,,,,,,,,,,,
10,5510556,Dog,Crust เคยกิน cepha/AMC/baytril/ไม่หาย,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,R,,R,R,,S,R,-,,,R,,,,S,R,,,,,R,,R,S,,,,,,,,,,,,,,
11,5501854,Dog,Rt ear exudate,,GP,Staphylococcus schleiferi,,,,*R,S,,S,-,S,,S,S,,R,S,,S,S,-,,,R,,,,S,S,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,clindamycin,cefovecin,,,,,,,,,,
12,5502038,Dog,จากแผลปะทุที่เท้า pododermatits,,GP,Staphylococcus schleiferi,,,,*R,S,,S,-,S,,S,R,,R,R,,S,R,-,,,R,,,,S,S,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,,,,,,,,,,,,
13,5502262,Dog,crust (เคยได้รับ amoxy-clav แล้วไม่ตอบสนอง),-,GP,Antimicrobials,,,,R,S,,S,-,S,,,,,S,,,,S,-,,,S,,,,,S,,,,,,,,,cefalexin,amoxicillin/clavulanic acid,clindamycin,cefovecin,,,,,,,,,,
14,5502262,Dog,crust,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,S,,S,S,,S,S,,,,S,,,,S,S,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,clindamycin,cefovecin,,,,,,,,,,
15,5502333,Dog,pustule,,GP,Staphylococcus pseudintermedius,,,,R,S,,R,-,R,,S,S,,R,S,,S,I,-,,,R,,,,S,R,,,,,R,,R,S,clindamycin,,,,,,,,,,,,,
16,5503244,Dog,vaginal discharge,,GP,Antimicrobials,,,,R,S,,R,,R,,,,,I,,,,I,-,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,
17,5503390,Dog,bloody exudate,unknown,GP,Antimicrobials,,,,R,S,,R,-,S,,,,,R,,,,I,-,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,
18,5506054,Dog,Intact Pustule (steroid abuse),swab,GP,Antimicrobials,,,,S,S,,S,-,S,,,,,S,,,,S,-,,,S,,,,,S,,,,,,,,,,amoxicillin/clavulanic acid,clindamycin,,,,,,,,,,,
19,5506112,Dog,Crust from skin,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,,S,S,,,,,S,,R,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,
20,5507086,Unk,UB mucosa,,GP,Staphylococcus pseudintermedius,,,,R,S,,R,-,R,,S,R,,R,R,,S,S,-,,,R,,,,S,R,,,,,R,,R,S,amikacin,nitrofurantoin,,,,,,,,,,,,
21,5508183,Dog,Deep pyoderma,,GP,Staphylococcus chromogenes,,,,R,S,,S,-,S,,S,S,,S,R,,S,S,-,,,S,,,,S,S,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,clindamycin,cefovecin,,,,,,,,,,
22,5508352,Dog,Rt ear exudate/otitis externa and media,unknown,GP,Antimicrobials,,,,S,S,,S,-,S,,,,,R,,,,S,-,,,R,,,,,S,,,,,,,,,,,,,,,,,,,,,,
